# Canonical casing mined from Tatoeba: words written capitalized in >=90% of
# mid-sentence occurrences (>=25 seen). 'lower<TAB>Canonical' per line.
a's	A's
joseph	Joseph
jr	Jr
juan	Juan
judaism	Judaism
judy	Judy
julia	Julia
juliet	Juliet
julius	Julius
july	July
june	June
jupiter	Jupiter
jupiter's	Jupiter's
justin	Justin
karl	Karl
kate	Kate
ken	Ken
kennedy	Kennedy
kenya	Kenya
kevin	Kevin
khan	Khan
kim	Kim
kong	Kong
korea	Korea
korean	Korean
koreans	Koreans
kurdish	Kurdish
lanka	Lanka
las	Las
latin	Latin
latvian	Latvian
lebanese	Lebanese
lebanon	Lebanon
lee	Lee
leo	Leo
leon	Leon
leonid	Leonid
lgbt	LGBT
libya	Libya
libyan	Libyan
lina	Lina
lincoln	Lincoln
linda	Linda
linda's	Linda's
linux	Linux
lisa	Lisa
lithuanian	Lithuanian
liverpool	Liverpool
london	London
lorenzo	Lorenzo
los	Los
louis	Louis
lucy	Lucy
luis	Luis
lukas	Lukas
lulu	Lulu
luther	Luther
madrid	Madrid
magyar	Magyar
malaysia	Malaysia
mali	Mali
maltese	Maltese
manchester	Manchester
marco	Marco
marcus	Marcus
maria	Maria
maria's	Maria's
marie	Marie
marilla	Marilla
mario	Mario
mark's	Mark's
mars	Mars
martha	Martha
martha's	Martha's
martian	Martian
martin	Martin
mary	Mary
mary's	Mary's
maryland	Maryland
massachusetts	Massachusetts
matt	Matt
matthew	Matthew
matthew's	Matthew's
maya	Maya
mcdonald's	McDonald's
mediterranean	Mediterranean
meg	Meg
melissa	Melissa
melissa's	Melissa's
mexican	Mexican
mexico	Mexico
miami	Miami
michael	Michael
microsoft	Microsoft
milan	Milan
milky	Milky
mina	Mina
minecraft	Minecraft
mira	Mira
mississippi	Mississippi
mohammed	Mohammed
monday	Monday
mondays	Mondays
mongolian	Mongolian
montreal	Montreal
moroccan	Moroccan
morocco	Morocco
morocco's	Morocco's
moscow	Moscow
moses	Moses
mp	MP
mr	Mr
mrs	Mrs
mt	Mt
muhammad	Muhammad
munich	Munich
musk	Musk
muslim	Muslim
muslims	Muslims
nahuatl	Nahuatl
nancy	Nancy
napoleon	Napoleon
nasa	NASA
nato	NATO
nazi	Nazi
nazis	Nazis
nepal	Nepal
neptune	Neptune
netflix	Netflix
netherlands	Netherlands
newton	Newton
niger	Niger
nigeria	Nigeria
nile	Nile
noah	Noah
nobel	Nobel
norway	Norway
norwegian	Norwegian
november	November
obama	Obama
october	October
ohio	Ohio
ok	OK
oleg	Oleg
olivia	Olivia
olivia's	Olivia's
olympic	Olympic
olympics	Olympics
ontario	Ontario
orleans	Orleans
oscar	Oscar
ouija	Ouija
oxford	Oxford
pacific	Pacific
pakistan	Pakistan
palestine	Palestine
palestinian	Palestinian
palestinians	Palestinians
panama	Panama
paraguay	Paraguay
paris	Paris
parker	Parker
paul	Paul
paulo	Paulo
pc	PC
pedro	Pedro
pennsylvania	Pennsylvania
persian	Persian
peru	Peru
peter	Peter
peter's	Peter's
petersburg	Petersburg
pharaoh	Pharaoh
pharaoh's	Pharaoh's
phd	PhD
philippine	Philippine
philippines	Philippines
pierre	Pierre
pluto	Pluto
poland	Poland
porsche	Porsche
portugal	Portugal
portuguese	Portuguese
protestant	Protestant
ps	PS
putin	Putin
quebec	Quebec
rachel	Rachel
reagan	Reagan
renaissance	Renaissance
republicans	Republicans
rhine	Rhine
richard	Richard
rima	Rima
rio	Rio
robert	Robert
roger	Roger
roman	Roman
romania	Romania
romanian	Romanian
romans	Romans
rome	Rome
romeo	Romeo
roosevelt	Roosevelt
russia	Russia
russia's	Russia's
russian	Russian
russians	Russians
sahara	Sahara
saharan	Saharan
salvador	Salvador
sam	Sam
san	San
sandra	Sandra
sandra's	Sandra's
sanskrit	Sanskrit
santa	Santa
santiago	Santiago
sara	Sara
sarah	Sarah
satan	Satan
saturday	Saturday
saturdays	Saturdays
saturn	Saturn
saturn's	Saturn's
saudi	Saudi
saxon	Saxon
scorpio	Scorpio
scotland	Scotland
scott	Scott
scottish	Scottish
seattle	Seattle
semitic	Semitic
senegal	Senegal
september	September
serbia	Serbia
serbian	Serbian
shakespeare	Shakespeare
shanghai	Shanghai
sherlock	Sherlock
simon	Simon
singapore	Singapore
slavic	Slavic
slovak	Slovak
slovenian	Slovenian
smith	Smith
soviet	Soviet
spain	Spain
spanish	Spanish
sri	Sri
starbucks	Starbucks
stefan	Stefan
stephen	Stephen
steve	Steve
stockholm	Stockholm
sudan	Sudan
sunday	Sunday
sundays	Sundays
sunni	Sunni
susan	Susan
swahili	Swahili
sweden	Sweden
swedish	Swedish
swiss	Swiss
switzerland	Switzerland
sydney	Sydney
syria	Syria
syrian	Syrian
tagalog	Tagalog
taiwan	Taiwan
tamil	Tamil
tanaka	Tanaka
tatar	Tatar
taylor	Taylor
teresa	Teresa
texas	Texas
thai	Thai
thailand	Thailand
thanksgiving	Thanksgiving
thomas	Thomas
thursday	Thursday
thursdays	Thursdays
tibetan	Tibetan
tim	Tim
titan	Titan
titanic	Titanic
tobias	Tobias
tokyo	Tokyo
tom	Tom
tom's	Tom's
tony	Tony
toronto	Toronto
toyota	Toyota
trojan	Trojan
troy	Troy
troy's	Troy's
trump	Trump
trump's	Trump's
tuareg	Tuareg
tuesday	Tuesday
tuesdays	Tuesdays
tunisian	Tunisian
turkish	Turkish
turks	Turks
tv	TV
twitter	Twitter
u	U
uber	Uber
uk	UK
ukraine	Ukraine
ukrainian	Ukrainian
unesco	UNESCO
united	United
uranus	Uranus
uruguay	Uruguay
usa	USA
usb	USB
ussr	USSR
valentine's	Valentine's
vancouver	Vancouver
vatican	Vatican
vegas	Vegas
venezuela	Venezuela
venice	Venice
venus	Venus
victoria	Victoria
victorian	Victorian
vienna	Vienna
vietnam	Vietnam
vietnamese	Vietnamese
virginia	Virginia
vladimir	Vladimir
vladimir's	Vladimir's
vr	VR
wales	Wales
walmart	Walmart
wang	Wang
warsaw	Warsaw
washington	Washington
watson	Watson
wednesday	Wednesday
welsh	Welsh
westerners	Westerners
wikipedia	Wikipedia
william	William
william's	William's
williams	Williams
wilson	Wilson
yemen	Yemen
yiddish	Yiddish
york	York
youtube	YouTube
zealand	Zealand
zen	Zen
zeus	Zeus
zionism	Zionism
zionist	Zionist
# Curated given names (tools/curated_words.py): the name reading wins over any lowercase one.
alan	Alan
alexandra	Alexandra
alexis	Alexis
alicia	Alicia
allison	Allison
alyssa	Alyssa
amy	Amy
andrea	Andrea
annie	Annie
ashley	Ashley
austin	Austin
bethany	Bethany
beverly	Beverly
bradley	Bradley
brandon	Brandon
brenda	Brenda
brendan	Brendan
brett	Brett
brianna	Brianna
brittany	Brittany
brooke	Brooke
bruce	Bruce
bryan	Bryan
caleb	Caleb
cameron	Cameron
carl	Carl
carmen	Carmen
caroline	Caroline
carrie	Carrie
casey	Casey
catherine	Catherine
cathy	Cathy
charlotte	Charlotte
chelsea	Chelsea
cheryl	Cheryl
christina	Christina
christine	Christine
cindy	Cindy
claire	Claire
clara	Clara
clarence	Clarence
claudia	Claudia
cody	Cody
colin	Colin
connor	Connor
courtney	Courtney
craig	Craig
cynthia	Cynthia
damian	Damian
dana	Dana
danielle	Danielle
danny	Danny
darren	Darren
dave	Dave
deborah	Deborah
debra	Debra
denise	Denise
dennis	Dennis
derek	Derek
desmond	Desmond
diane	Diane
dominic	Dominic
donna	Donna
doris	Doris
dorothy	Dorothy
douglas	Douglas
dustin	Dustin
dylan	Dylan
eleanor	Eleanor
elena	Elena
elijah	Elijah
ella	Ella
ellen	Ellen
eric	Eric
erica	Erica
erik	Erik
erin	Erin
ethan	Ethan
eugene	Eugene
eva	Eva
evan	Evan
evelyn	Evelyn
fiona	Fiona
frances	Frances
gabriella	Gabriella
gareth	Gareth
garrett	Garrett
gary	Gary
gavin	Gavin
geoffrey	Geoffrey
gerald	Gerald
gina	Gina
gloria	Gloria
gordon	Gordon
gregory	Gregory
gretchen	Gretchen
hannah	Hannah
harold	Harold
hayley	Hayley
heidi	Heidi
helen	Helen
howard	Howard
ian	Ian
irene	Irene
isabel	Isabel
isabelle	Isabelle
jackie	Jackie
jacqueline	Jacqueline
jamie	Jamie
janet	Janet
janice	Janice
jared	Jared
jason	Jason
jayden	Jayden
jeffrey	Jeffrey
jenna	Jenna
jennifer	Jennifer
jenny	Jenny
jeremiah	Jeremiah
jeremy	Jeremy
jerome	Jerome
jesse	Jesse
jill	Jill
joan	Joan
joanna	Joanna
joanne	Joanne
jodie	Jodie
joel	Joel
jonathan	Jonathan
jorge	Jorge
jose	Jose
joshua	Joshua
joyce	Joyce
judith	Judith
julian	Julian
julie	Julie
kaitlyn	Kaitlyn
karen	Karen
katelyn	Katelyn
katherine	Katherine
kathleen	Kathleen
kathryn	Kathryn
kathy	Kathy
katie	Katie
kayla	Kayla
keith	Keith
kelsey	Kelsey
kendra	Kendra
kenneth	Kenneth
kimberly	Kimberly
kirsten	Kirsten
kristen	Kristen
kristin	Kristin
kurt	Kurt
kyle	Kyle
larry	Larry
laura	Laura
lauren	Lauren
laurie	Laurie
lawrence	Lawrence
leah	Leah
leonard	Leonard
leslie	Leslie
liam	Liam
lillian	Lillian
lindsay	Lindsay
logan	Logan
lois	Lois
lori	Lori
lucas	Lucas
luke	Luke
lydia	Lydia
lynn	Lynn
madeline	Madeline
madison	Madison
maggie	Maggie
margaret	Margaret
marilyn	Marilyn
marissa	Marissa
marsha	Marsha
marvin	Marvin
maureen	Maureen
megan	Megan
melanie	Melanie
meredith	Meredith
michelle	Michelle
miguel	Miguel
